Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2/7/1992,90,90.37,88.62,89.25,1724200,0,1,14.41495084,14.47421231,14.1939216,14.29482625,6896800
2/6/1992,90.37,90.87,89.62,89.87,1401700,1.21,1,14.47421231,14.55429537,14.35408772,14.39412925,5606800
2/5/1992,91.75,92.12,91,91.25,1632500,0,1,14.50001492,14.55848909,14.38148618,14.42099576,6530000
2/4/1992,91.12,92.25,90,92.25,1502600,0,1,14.40045078,14.57903407,14.22344787,14.57903407,6010400
2/3/1992,90,91.37,89.25,91.37,1519300,0,1,14.22344787,14.43996036,14.10491914,14.43996036,6077200
1/31/1992,91.87,92,90,90,1490500,0,1,14.51897951,14.53952449,14.22344787,14.22344787,5962000
1/30/1992,92.12,92.5,91.37,91.75,1047600,0,1,14.55848909,14.61854365,14.43996036,14.50001492,4190400
1/29/1992,92.75,94.12,91.62,91.87,1438600,0,1,14.65805323,14.87456571,14.47946994,14.51897951,5754400
1/28/1992,93.87,94,92.87,93.25,978500,0,1,14.83505613,14.85560111,14.67701782,14.73707238,3914000
1/27/1992,93.5,94,93.37,93.75,718000,0,1,14.77658196,14.85560111,14.75603698,14.81609154,2872000
1/24/1992,93.62,94.25,93.12,93.12,1055300,0,1,14.79554656,14.89511069,14.7165274,14.7165274,4221200
1/23/1992,95.5,95.87,93.25,93.5,1339200,0,1,15.09265858,15.15113275,14.73707238,14.77658196,5356800
1/22/1992,92.87,95.62,92.87,95.62,1273400,0,1,14.67701782,15.11162317,14.67701782,15.11162317,5093600
1/21/1992,95.25,95.5,92.87,92.87,1426400,0,1,15.053149,15.09265858,14.67701782,14.67701782,5705600
1/20/1992,96.25,96.37,95.25,95.25,1209900,0,1,15.21118731,15.23015191,15.053149,15.053149,4839600
1/17/1992,95,98.12,92.62,96.37,3582000,0,1,15.01363942,15.50671895,14.63750825,15.23015191,14328000
1/16/1992,95.12,97.12,95,95.5,2253200,0,1,15.03260402,15.34868064,15.01363942,15.09265858,9012800
1/15/1992,94,95.75,93.5,95.37,3103900,0,1,14.85560111,15.13216816,14.77658196,15.0721136,12415600
1/14/1992,90.37,92.5,90.25,92.37,1338400,0,1,14.28192205,14.61854365,14.26295745,14.59799867,5353600
1/13/1992,90.75,90.87,89.75,90.25,1333300,0,1,14.34197661,14.3609412,14.1839383,14.26295745,5333200
1/10/1992,91.37,92.5,90.62,90.87,1611500,0,1,14.43996036,14.61854365,14.32143163,14.3609412,6446000
1/9/1992,92.62,94.25,91.25,91.25,2040100,0,1,14.63750825,14.89511069,14.42099576,14.42099576,8160400
1/8/1992,94,95,92.25,92.37,2515900,0,1,14.85560111,15.01363942,14.57903407,14.59799867,10063600
1/7/1992,92,94.75,91.87,94.62,1973000,0,1,14.53952449,14.97412985,14.51897951,14.95358487,7892000
1/6/1992,91,93.12,90.87,92.25,2198500,0,1,14.38148618,14.7165274,14.3609412,14.57903407,8794000
1/3/1992,90.25,91.12,90,90.37,1450600,0,1,14.26295745,14.40045078,14.22344787,14.28192205,5802400
1/2/1992,89,90.62,88.87,90.25,1780900,0,1,14.06540956,14.32143163,14.04486458,14.26295745,7123600
12/31/1991,90.12,91.12,88.87,89,1906500,0,1,14.24241247,14.40045078,14.04486458,14.06540956,7626000
12/30/1991,89.75,90.75,89.12,90.37,1946200,0,1,14.1839383,14.34197661,14.08437416,14.28192205,7784800
12/27/1991,88.37,89.62,88.37,89.37,1541000,0,1,13.96584543,14.16339332,13.96584543,14.12388374,6164000
12/26/1991,88.25,88.87,87.5,88.25,1228800,0,1,13.94688083,14.04486458,13.8283521,13.94688083,4915200
12/24/1991,88.25,90,87.87,88.25,1719200,0,1,13.94688083,14.22344787,13.88682627,13.94688083,6876800
12/23/1991,85.87,88.5,85.5,88.25,2341800,0,1,13.57074966,13.98639041,13.51227548,13.94688083,9367200
12/20/1991,86,86.25,85,85.75,3223300,0,1,13.59129464,13.63080421,13.43325633,13.55178506,12893200
12/19/1991,85.62,85.87,84.5,84.87,1902400,0,1,13.53124008,13.57074966,13.35423717,13.41271135,7609600
12/18/1991,85.5,86.87,84.87,86.25,1906000,0,1,13.51227548,13.72878796,13.41271135,13.63080421,7624000
12/17/1991,86.75,87,85.25,85.5,1482000,0,1,13.70982337,13.74933295,13.4727659,13.51227548,5928000
12/16/1991,87.75,88,86.75,86.87,1292100,0,1,13.86786168,13.90737125,13.70982337,13.72878796,5168400
12/13/1991,88.75,88.87,87.25,88,1779300,0,1,14.02589999,14.04486458,13.78884252,13.90737125,7117200
12/12/1991,88.5,89.25,88,88.62,2093100,0,1,13.98639041,14.10491914,13.90737125,14.00535501,8372400
12/11/1991,87,87.87,85.62,87.75,2590200,0,1,13.74933295,13.88682627,13.53124008,13.86786168,10360800
12/10/1991,85.37,86.5,83.5,86.25,5007000,0,1,13.4917305,13.67031379,13.19619886,13.63080421,20028000
12/9/1991,89.37,89.75,84.62,85.12,3895100,0,1,14.12388374,14.1839383,13.37320177,13.45222092,15580400
12/6/1991,90,90.25,89,89,2696600,0,1,14.22344787,14.26295745,14.06540956,14.06540956,10786400
12/5/1991,90.12,91.12,90.12,90.25,1892800,0,1,14.24241247,14.40045078,14.24241247,14.26295745,7571200
12/4/1991,91.37,91.5,90,90,2340000,0,1,14.43996036,14.46050534,14.22344787,14.22344787,9360000
